Čas (Index),Buy_Price,Sell_Price,Sloupec_3,Sloupec_4,Sloupec_5,Sloupec_6
177427343.2721,1282.5000000000014,1206.8999999999996,3345710,1409778,6228477,30341689
177427345.2721,1282.5000000000014,1206.6999999999996,3345710,1409643,6228477,30341824
177427347.2721,1282.5000000000014,1206.6999999999996,3345710,1409092,6228477,30342375
177427349.2721,1282.5000000000014,1206.6999999999996,3345710,1408689,6228477,30342778
177427351.2721,1282.5000000000014,1206.6999999999996,3345709,1407965,6228478,30343502
177427353.2721,1282.5000000000014,1206.6999999999996,3345709,1407932,6228478,30343535
177427355.2721,1282.5000000000014,1206.6999999999996,3345709,1407538,6228478,30343929
177427357.2721,1282.5000000000014,1206.6999999999996,3345709,1407532,6228478,30343935
177427359.2721,1282.5000000000014,1206.6999999999996,3345709,1407422,6228478,30344045
177427361.2721,1274.9000000000015,1206.6999999999996,3345709,1406898,6228478,30344569
177427363.2721,1274.9000000000015,1206.6999999999996,3345917,1406876,6228478,30344591
177427365.2721,1274.8000000000015,1206.6999999999996,3345916,1406451,6228599,30345016
177427367.2721,1274.8000000000015,1206.6999999999996,3345916,1405295,6228599,30346172
177427369.2721,1274.8000000000015,1206.6999999999996,3345916,1405179,6228599,30346288
177427371.2721,1274.7000000000016,1206.6999999999996,3345916,1403278,6228599,30348189
177427373.2721,1274.7000000000016,1206.6999999999996,3346435,1402905,6228599,30348562
177427375.2721,1274.7000000000016,1206.6999999999996,3346435,1402693,6228599,30348774
177427377.2721,1274.7000000000016,1206.6999999999996,3346435,1385095,6228599,30366372
177427379.2721,1274.7000000000016,1206.6999999999996,3346435,1384822,6228599,30366645
177427381.2721,1274.7000000000016,1206.6999999999996,3346435,1384424,6228599,30367043
177427383.2721,1274.7000000000016,1206.6999999999996,3346435,1384318,6228599,30367149
177427385.2721,1274.7000000000016,1206.6999999999996,3346435,1384108,6228599,30367359
177427387.2721,1274.7000000000016,1206.6999999999996,3346371,1383771,6228663,30367696
177427389.2721,1274.7000000000016,1206.6999999999996,3346211,1383771,6228823,30367696
177427391.2721,1274.7000000000016,1206.6999999999996,3346211,1383712,6228823,30367755
177427393.2721,1274.7000000000016,1206.6999999999996,3346115,1383351,6228919,30368116
177427395.2721,1274.7000000000016,1206.6999999999996,3346115,1383131,6228919,30368336
177427397.2721,1274.7000000000016,1206.6999999999996,3346115,1382613,6228919,30368854
177427399.2721,1274.6000000000017,1206.6999999999996,3346115,1381267,6228919,30370200
177427401.2721,1274.6000000000017,1206.6999999999996,3346211,1381162,6223887,30263257
177427403.2721,1274.6000000000017,1206.7999999999995,3346211,1381140,6223887,30263279
177427405.2721,1274.6000000000017,1206.7999999999995,3346211,1383756,6223887,30263663
177427407.2721,1274.6000000000017,1206.7999999999995,3346211,1383751,6223887,30263668
177427409.2721,1274.5000000000018,1206.7999999999995,3346410,1383382,6223887,30264037
177427411.2721,1274.5000000000018,1206.7999999999995,3346410,1382804,6223887,30264615
177427413.2721,1274.6000000000017,1206.7999999999995,3345954,1382714,6224144,30264705
177427415.2721,1274.6000000000017,1206.8999999999994,3345954,1382618,6224144,30264801
177427417.2721,1274.6000000000017,1206.7999999999995,3345930,1382582,6224168,30266181
177427419.2721,1274.5000000000018,1206.7999999999995,3346170,1382090,6224168,30266673
177427421.2721,1274.5000000000018,1206.7999999999995,3346842,1381754,6224168,30267009
177427423.2721,1274.5000000000018,1206.6999999999996,3346842,1381722,6224168,30267041
177427425.2721,1274.5000000000018,1206.6999999999996,3346778,1379797,6224232,30270310
177427427.2721,1274.400000000002,1206.5999999999997,3347655,1371867,6224232,30278240
177427429.2721,1274.400000000002,1206.6999999999996,3347655,1378068,6224232,30278471
177427431.2721,1274.400000000002,1206.6999999999996,3347655,1378013,6224232,30278526
177427433.2721,1274.400000000002,1206.6999999999996,3347591,1377477,6224296,30279062
177427435.2721,1274.400000000002,1206.7999999999995,3347591,1377869,6224296,30279182
177427437.2721,1274.400000000002,1206.6999999999996,3347591,1375488,6224296,30281563
177427439.2721,1274.5000000000018,1206.7999999999995,3347015,1375480,6224872,30281571
177427441.2721,1282.400000000002,1206.6999999999996,3346266,1373485,6225384,30283822
